zip_code,population,median_income,median_age
01952,9182.0,97237.0,49.4
01960,54057.0,91032.0,46.8
01965,803.0,241003.0,64.8
01966,6973.0,95091.0,58.4
01969,6175.0,135396.0,48.5
01970,44435.0,79267.0,38.0
01982,7612.0,139250.0,43.1
01983,6532.0,162734.0,43.4
01984,4933.0,181982.0,25.3
01985,4521.0,181125.0,50.5
02019,17025.0,116152.0,38.3
02021,24293.0,130134.0,43.1
02025,8330.0,178013.0,44.1
02026,25150.0,118877.0,43.7
02030,5886.0,250001.0,46.2
02032,4847.0,170174.0,37.7
02035,18476.0,104350.0,42.9
02038,32777.0,138062.0,42.0
02043,24143.0,170326.0,46.0
02045,10116.0,128022.0,54.2
02047,218.0,,43.2
02048,23831.0,125506.0,41.3
02050,25915.0,118633.0,46.3
02052,12844.0,215099.0,40.9
02053,13164.0,165614.0,39.2
02054,8565.0,140816.0,45.6
02056,11527.0,182716.0,41.1
02061,11281.0,179777.0,38.6
02062,31343.0,98653.0,39.0
02066,18718.0,127255.0,48.4
02067,18473.0,181545.0,41.9
02071,1480.0,200496.0,30.9
02072,29051.0,98145.0,45.7
02081,19990.0,141599.0,42.3
02090,16149.0,192887.0,42.7
02093,12173.0,151833.0,47.3
02108,4218.0,170379.0,38.7
02109,3559.0,162179.0,35.4
02110,2337.0,126157.0,51.6
02111,8417.0,72321.0,30.7
02113,6688.0,106625.0,30.0
02114,13356.0,121418.0,32.7
02115,27838.0,51454.0,22.1
02116,22286.0,131648.0,34.4
02118,28392.0,74155.0,37.3
02119,26821.0,37158.0,34.7
02120,14364.0,51698.0,23.8
02121,29820.0,42411.0,33.2
02122,24705.0,81025.0,36.6
02124,55336.0,72189.0,36.3
02125,31903.0,64983.0,33.6
02126,24994.0,66689.0,36.9
02127,36175.0,145357.0,32.4
02128,45357.0,84023.0,33.7
02129,19832.0,146815.0,35.8
02130,41479.0,114933.0,35.0
02131,31637.0,101566.0,38.5
02132,26488.0,132457.0,43.6
02134,17969.0,80027.0,27.8
02135,44480.0,87603.0,30.2
02136,39498.0,91579.0,37.7
02138,38006.0,118320.0,29.2
02139,39856.0,117124.0,29.8
02140,21553.0,137792.0,34.7
02141,14402.0,103451.0,31.4
02142,4474.0,150294.0,30.9
02143,25329.0,118440.0,32.8
02144,25022.0,133627.0,31.4
02145,27692.0,113469.0,33.5
02148,65463.0,90295.0,35.4
02149,48685.0,77796.0,36.0
02150,39875.0,70968.0,34.5
02151,60592.0,78882.0,39.6
02152,19031.0,98901.0,44.7
02155,63873.0,115048.0,34.5
02163,1994.0,67969.0,26.5
02169,60938.0,86335.0,37.8
02170,19928.0,97362.0,38.2
02171,19882.0,101013.0,41.0
02176,29477.0,126305.0,43.1
02180,22992.0,112935.0,42.1
02184,38748.0,120593.0,41.4
02186,28683.0,170144.0,40.0
02188,15313.0,100650.0,46.0
02189,15567.0,87314.0,42.5
02190,18516.0,95891.0,41.8
02191,7904.0,106596.0,52.3
02199,1221.0,111786.0,40.4
02210,5706.0,179643.0,37.4
02215,24522.0,64138.0,21.9
02301,69225.0,70837.0,35.4
02302,35488.0,80702.0,38.1
02322,4730.0,125000.0,37.3
02324,25819.0,110625.0,40.0
02325,2712.0,22500.0,20.1
02330,11641.0,69629.0,45.7
02332,16041.0,148505.0,47.6
02333,14382.0,122693.0,41.3
02338,7728.0,110763.0,41.4
02339,14773.0,163613.0,41.0
02341,10513.0,117708.0,43.7
02343,11282.0,96741.0,43.2
02346,24268.0,89290.0,43.0
02347,11625.0,119712.0,41.9
02350,106.0,82344.0,48.7
02351,17003.0,120535.0,40.6
02356,12201.0,116875.0,46.0
02357,1319.0,,20.2
02359,18330.0,140052.0,43.2
02360,61412.0,107067.0,47.7
02364,13702.0,111490.0,45.1
02366,216.0,,36.5
02367,2923.0,108958.0,46.5
02368,34747.0,95207.0,40.3
02370,17721.0,98295.0,41.6
02375,11501.0,117695.0,43.9
02379,7648.0,120414.0,41.2
02382,15146.0,101088.0,40.3
02420,16356.0,221458.0,45.4
02421,17865.0,200294.0,47.8
02445,22124.0,132970.0,35.1
02446,31517.0,116644.0,33.3
02451,18379.0,117932.0,39.5
02452,15830.0,106674.0,31.8
02453,30365.0,111294.0,34.0
02457,1758.0,,20.0
02458,12706.0,133936.0,40.6
02459,19182.0,210785.0,45.5
02460,9888.0,149000.0,43.0
02461,7049.0,191711.0,44.7
02462,1438.0,136375.0,50.7
02464,3440.0,126346.0,41.8
02465,11823.0,178333.0,42.0
02466,8859.0,144934.0,35.5
02467,21709.0,171250.0,29.9
02468,5589.0,250001.0,47.1
02472,35300.0,117584.0,38.2
02474,28167.0,134169.0,38.5
02476,17739.0,138959.0,44.9
02478,26964.0,164720.0,42.0
02481,17100.0,250001.0,35.4
02482,11004.0,230625.0,46.2
02492,21192.0,207844.0,42.6
02493,11759.0,250001.0,45.6
02494,10765.0,203690.0,44.2
02532,13092.0,82782.0,54.9
02534,1460.0,163053.0,51.4
02535,2269.0,135750.0,53.8
02536,20909.0,89132.0,54.5
02537,6408.0,126763.0,50.1
02538,4494.0,103198.0,39.3
02539,5159.0,79127.0,50.2
02540,8615.0,85117.0,61.0
02542,766.0,49250.0,27.4
02543,801.0,83629.0,68.5
02553,76.0,,
02554,13861.0,136887.0,40.4
02556,2375.0,129787.0,49.3
02557,1924.0,92022.0,51.5
02558,1820.0,72586.0,58.7
02559,3205.0,93116.0,62.1
02561,481.0,88060.0,55.8
02562,3485.0,114770.0,43.3
02563,10168.0,118550.0,53.7
02564,180.0,,62.5
02568,8547.0,77078.0,45.0
02571,10530.0,82591.0,54.9
02575,2606.0,124622.0,49.3
02576,4406.0,59978.0,48.7
